ITERACAO,TEMPO (s),DESLOCAMENTO (m)
50000,.8593177110505857,-.3732847731422534E-01
51000,.8765040652715975,-.3818312627145928E-01
52000,.8936904194926092,-.4011569358314793E-01
53000,.9108767737136210,-.4296550191580405E-01
54000,.9280631279346326,-.4650464812788837E-01
55000,.9452494821556443,-.5045753994483450E-01
56000,.9624358363766561,-.5452409220539838E-01
57000,.9796221905976678,-.5840439266863904E-01
58000,.9968085448186795,-.6182258050063588E-01
59000,1.013994899039691,-.6454784244031925E-01
60000,1.031181253260703,-.6641079401676016E-01
61000,1.048367607481715,-.6731402759737133E-01
62000,1.065553961702726,-.6723621363855739E-01
63000,1.082740315923738,-.6622976874279496E-01
64000,1.099926670144750,-.6441268860225585E-01
65000,1.117113024365761,-.6195562970680057E-01
66000,1.134299378586773,-.5906566921235898E-01
67000,1.151485732807785,-.5596835456835463E-01
68000,1.168672087028797,-.5288966929053933E-01
69000,1.185858441249808,-.5003940233132666E-01
70000,1.203044795470820,-.4759714462861858E-01
71000,1.220231149691832,-.4570178644117683E-01
72000,1.237417503912843,-.4444499691187655E-01
73000,1.254603858133855,-.4386877638911334E-01
74000,1.271790212354867,-.4396682088042634E-01
75000,1.288976566575879,-.4468915603948368E-01
76000,1.306162920796890,-.4594930389884964E-01
77000,1.323349275017902,-.4763314575976391E-01
78000,1.340535629238914,-.4960863478916492E-01
79000,1.357721983459925,-.5173557841975990E-01
80000,1.374908337680937,-.5387483372484984E-01
81000,1.392094691901949,-.5589641560923525E-01
82000,1.409281046122961,-.5768618514140988E-01
83000,1.426467400343972,-.5915094377844295E-01
84000,1.443653754564984,-.6022189375440910E-01
85000,1.460840108785996,-.6085652668674107E-01
86000,1.478026463007007,-.6103906904705943E-01
87000,1.495212817228019,-.6077964757883188E-01
88000,1.512399171449031,-.6011234721209620E-01
89000,1.529585525670043,-.5909232822982573E-01
90000,1.546771879891054,-.5779215830694997E-01
91000,1.563958234112066,-.5629750721110169E-01
92000,1.581144588333078,-.5470235349236695E-01
93000,1.598330942554089,-.5310386566929696E-01
94000,1.615517296775101,-.5159714400159554E-01
95000,1.632703650996113,-.5027003832086926E-01
96000,1.649890005217125,-.4919828565265900E-01
97000,1.667076359438136,-.4844123058717199E-01
98000,1.684262713659148,-.4803839393182545E-01
99000,1.701449067880160,-.4800713533264420E-01
100000,1.718635422101171,-.4834161016260727E-01
101000,1.735821776322183,-.4901315049883263E-01
102000,1.753008130543195,-.4997210841934149E-01
103000,1.770194484764207,-.5115109437862057E-01
104000,1.787380838985218,-.5246943372579223E-01
105000,1.804567193206230,-.5383856150887521E-01
106000,1.821753547427242,-.5516799044331307E-01
107000,1.838939901648253,-.5637142890981996E-01
108000,1.856126255869265,-.5737260207515209E-01
109000,1.873312610090277,-.5811034338228405E-01
110000,1.890498964311289,-.5854257541665821E-01
111000,1.907685318532300,-.5864888451616113E-01
112000,1.924871672753312,-.5843150487859851E-01
113000,1.942058026974324,-.5791465517855743E-01
114000,1.959244381195336,-.5714230223352793E-01
115000,1.976430735416347,-.5617455002245733E-01
116000,1.993617089637359,-.5508295743615977E-01
117000,2.010803443858371,-.5394516548197683E-01
118000,2.027989798079382,-.5283925818774048E-01
119000,2.045176152300394,-.5183828846796050E-01
120000,2.062362506521406,-.5100537133901119E-01
121000,2.079548860742418,-.5038968634951004E-01
122000,2.096735214963429,-.5002364543095892E-01
123000,2.113921569184441,-.4992138034495488E-01
124000,2.131107923405453,-.5007859511125994E-01
125000,2.148294277626464,-.5047372271048105E-01
126000,2.165480631847476,-.5107023080005280E-01
127000,2.182666986068488,-.5181984505865886E-01
128000,2.199853340289500,-.5266640603793776E-01
129000,2.217039694510511,-.5355004837140333E-01
130000,2.234226048731523,-.5441138994788739E-01
131000,2.251412402952535,-.5519544091008931E-01
132000,2.268598757173546,-.5585498421357948E-01
133000,2.285785111394558,-.5635323577753371E-01
134000,2.302971465615570,-.5666565711322503E-01
135000,2.320157819836582,-.5678086104297898E-01
136000,2.337344174057593,-.5670061636309462E-01
137000,2.354530528278605,-.5643901562242169E-01
138000,2.371716882499617,-.5602091832626623E-01
139000,2.388903236720628,-.5547981779584677E-01
140000,2.406089590941640,-.5485530283885292E-01
141000,2.423275945162652,-.5419029545305362E-01
142000,2.440462299383664,-.5352824421788126E-01
143000,2.457648653604675,-.5291044133605113E-01
144000,2.474835007825687,-.5237361158459197E-01
145000,2.492021362046699,-.5194789573986414E-01
146000,2.509207716267710,-.5165532135332911E-01
147000,2.526394070488722,-.5150882195979777E-01
148000,2.543580424709734,-.5151183332000393E-01
149000,2.560766778930746,-.5165846358734947E-01
150000,2.577953133151757,-.5193420440897854E-01
151000,2.595139487372769,-.5231712287556393E-01
152000,2.612325841593781,-.5277945082934355E-01
153000,2.629512195814792,-.5328946910170634E-01
154000,2.646698550035804,-.5381357056729652E-01
155000,2.663884904256816,-.5431837808171014E-01
156000,2.681071258477828,-.5477279199004072E-01
